Date,AAPL,AMZN,BRK-B,GOOGL,GS,JPM,MCD,MSFT,UNH,V
2014-01-02,17.140657424926758,19.898500442504883,117.5,27.646961212158203,140.43545532226562,42.19770812988281,70.62179565429688,30.831125259399414,61.4987678527832,50.666961669921875
2014-01-03,16.76415252685547,19.82200050354004,117.56999969482422,27.445283889770508,141.4358367919922,42.52391815185547,70.717041015625,30.623722076416016,61.93587875366211,50.70137023925781
2014-01-06,16.855571746826172,19.681499481201172,116.27999877929688,27.75127601623535,142.4044189453125,42.7703971862793,70.21160888671875,29.976558685302734,61.22661209106445,50.39645767211914
2014-01-07,16.73501968383789,19.901500701904297,116.19000244140625,28.286277770996094,141.54702758789062,42.277442932128906,70.59984588623047,30.2088623046875,63.09870147705078,50.78160095214844
2014-01-08,16.841007232666016,20.09600067138672,115.33999633789062,28.34514045715332,141.6660614013672,42.67615509033203,69.8893051147461,29.66956901550293,62.36470031738281,50.94436264038086
2014-01-09,16.625944137573242,20.050500869750977,115.31999969482422,28.072179794311523,140.84034729003906,42.59640884399414,69.92591857910156,29.478736877441406,62.744083404541016,50.87331008911133
2014-01-10,16.51500701904297,19.882999420166016,114.97000122070312,28.070688247680664,141.62637329101562,42.40068817138672,70.17498779296875,29.90187644958496,61.60597610473633,50.69448471069336
2014-01-13,16.60146141052246,19.548999786376953,114.01000213623047,27.891864776611328,139.63365173339844,41.8279914855957,69.46443176269531,29.022411346435547,60.97919464111328,50.18325424194336
2014-01-14,16.93179702758789,19.87700080871582,114.95999908447266,28.54806137084961,140.2052459716797,41.85699462890625,69.75011444091797,29.686161041259766,61.04514694213867,51.04293441772461
2014-01-15,17.271739959716797,19.793500900268555,115.8499984741211,28.528688430786133,141.91217041015625,43.125606536865234,69.92591857910156,30.499252319335938,61.72142028808594,51.29740524291992
2014-01-16,17.175369262695312,19.790000915527344,115.23999786376953,28.717453002929688,139.06996154785156,42.76313781738281,70.36543273925781,30.60712242126465,60.00605010986328,50.841209411621094
