date,open,high,low,close,adj_close,volume,adj_open
2000-01-03,148.25,148.25,143.875,145.4375,91.61707305908203,8164300,93.38878267990657
2000-01-04,143.53125,144.0625,139.640625,139.75,88.03424072265625,8089800,90.41620474936497
2000-01-05,139.9375,141.53125,137.25,140.0,88.19171142578125,12177900,88.1523401260376
2000-01-06,139.625,141.5,137.75,137.75,86.7743911743164,6227200,87.95553080010112
2000-01-07,140.3125,145.75,140.0625,145.75,91.81385803222656,8066500,88.38855543839993
2000-01-10,146.25,146.90625,145.03125,146.25,92.12889099121094,5741700,92.12889099121094
2000-01-11,145.8125,146.09375,143.5,144.5,91.02650451660156,7503700,91.8533023517437
2000-01-12,144.59375,144.59375,142.875,143.0625,90.12091827392578,6907700,91.08551525850909
2000-01-13,144.46875,145.75,143.28125,145.0,91.34142303466797,5158300,91.00676695889439
2000-01-14,146.53125,147.46875,145.96875,146.96875,92.5816421508789,7437300,92.30604296097623
2000-01-18,145.34375,146.625,145.1875,145.8125,91.8532943725586,6488500,91.55800945708744
2000-01-19,145.3125,147.0,145.0,147.0,92.60136413574219,6157900,91.53833827193903
2000-01-20,146.96875,146.96875,143.8125,144.75,91.18395233154297,5800100,92.58163381158172
2000-01-21,145.5,145.5,144.0625,144.4375,90.98714447021484,6244800,91.65645708639558
2000-01-24,145.65625,145.84375,139.40625,140.34375,88.40829467773438,7896900,91.75485671185035
2000-01-25,140.515625,141.9375,139.0,141.9375,89.4122314453125,9942500,88.51653427869829
2000-01-26,141.0,141.546875,140.09375,140.8125,88.70355987548828,5158100,88.82167380341835
2000-01-27,141.84375,142.21875,138.125,140.25,88.34923553466797,10922700,89.3532041202892
2000-01-28,139.4375,140.0625,135.53125,135.875,85.59322357177734,11916200,87.83738812724712
2000-01-31,135.8125,139.671875,135.0,139.5625,87.91614532470703,10768700,85.55386645346546
2000-02-01,139.75,141.6875,138.53125,140.9375,88.78231811523438,8419900,88.03426310672464
2000-02-02,141.28125,142.25,140.375,141.0625,88.86109161376953,6205900,88.99889126846523
2000-02-03,140.875,143.25,140.0,143.1875,90.19969177246094,7997500,88.74295297037405
2000-02-04,143.1875,144.0,142.125,142.59375,89.82565307617188,4925400,90.19968055994292
2000-02-07,142.5625,142.78125,141.4375,142.375,89.6878433227539,5845800,89.80595725162496
2000-02-08,143.96875,144.5625,143.625,144.3125,90.90837860107422,4936400,90.69183633935663
2000-02-09,144.46875,144.46875,141.265625,141.28125,88.9988784790039,8511500,91.00681601602192
2000-02-10,141.625,142.5625,140.875,141.5625,89.1760025024414,6690600,89.2153738059745
2000-02-11,141.84375,141.9375,138.03125,138.6875,87.36494445800781,9849800,89.35319578524052
2000-02-14,139.78125,139.78125,138.3125,139.5,87.8768310546875,8528800,88.0540020850397
2000-02-15,139.25,141.21875,137.796875,141.078125,88.87091827392578,11078300,87.71930708353379
2000-02-16,140.375,140.9375,138.796875,139.0,87.56182098388672,8845400,88.42799007635323
2000-02-17,140.4375,140.4375,138.21875,138.28125,87.10906982421875,7584200,88.46738074351164
2000-02-18,138.875,138.875,134.625,135.3125,85.23896026611328,9409200,87.4831268874382
2000-02-22,135.1875,136.34375,133.53125,134.96875,85.02236938476562,16415400,85.16016901099701
2000-02-23,135.625,137.46875,134.5,136.5625,86.02632904052734,12119000,85.43575927594706
2000-02-24,136.6875,137.03125,133.09375,133.8125,84.29400634765625,17375000,86.10508728740038
2000-02-25,135.1875,136.71875,133.125,133.328125,83.98885345458984,10559900,85.16015001630275
2000-02-28,133.375,136.6875,132.71875,136.125,85.75071716308594,13397800,84.01837944261956
2000-02-29,136.0625,137.4375,135.75,137.4375,86.57754516601562,8242500,85.7113760010987
2000-03-01,137.625,139.0,137.21875,138.4375,87.20745849609375,6868000,86.6956314259135
2000-03-02,138.6875,139.125,137.34375,138.53125,87.26652526855469,7600200,87.3649535623383
2000-03-03,140.4375,141.71875,139.71875,141.125,88.90042114257812,12770300,88.4673367171714
2000-03-06,140.8125,141.34375,138.75,139.75,88.03424072265625,11967100,88.70355292850829
2000-03-07,140.0,140.15625,135.21875,137.046875,86.33145904541016,20062000,88.1917538532522
2000-03-08,136.46875,137.84375,135.03125,136.875,86.22313690185547,11808500,85.96722348182713
2000-03-09,137.25,140.875,136.125,140.875,88.7429428100586,5500900,86.45940657093553
2000-03-10,140.1875,142.0,139.53125,140.125,88.27049255371094,7924600,88.30986387063945
2000-03-13,136.6875,140.46875,135.6875,138.59375,87.30590057373047,10540500,86.10507533472313
2000-03-14,139.28125,140.09375,136.15625,136.625,86.06568145751953,8263900,87.73896208969911
2000-03-15,136.875,140.4375,136.0625,139.8125,88.0736312866211,10300800,86.22317948936085
2000-03-16,141.625,146.84375,140.875,146.34375,92.18795776367188,25601400,89.2154227172669
2000-03-17,145.8125,148.0,145.4375,146.9375,92.79721069335938,10272900,92.08672588158545
2000-03-20,146.875,147.34375,144.78125,146.1875,92.32359313964844,12502300,92.75777848575196
2000-03-21,145.53125,149.75,144.5,149.1875,94.2181625366211,13612600,91.9090873341107
2000-03-22,149.5625,150.84375,148.6875,150.09375,94.7905502319336,8260000,94.45504339163735
2000-03-23,149.15625,153.46875,149.15625,152.65625,96.40885925292969,11654500,94.19846166105084
2000-03-24,152.875,155.75,151.71875,153.5625,96.98117065429688,11462900,96.54698551909244
2000-03-27,153.375,153.78125,151.8125,151.9375,95.95497131347656,8798600,96.8628134937357
2000-03-28,151.25,152.984375,150.59375,151.0625,95.40234375,6334400,95.5207579127017
2000-03-29,151.5625,152.484375,149.65625,151.21875,95.50100708007812,6747500,95.71809967728433
2000-03-30,150.15625,151.921875,147.125,148.6875,93.90241241455078,9491900,94.82998983857009
2000-03-31,149.625,152.3125,148.4375,150.375,94.96814727783203,9249100,94.49449068293012
